% UltraMSK: version 1.0.2
% Site: localhost.localdomain
% Date: 2016-07-23
% Frequency: 24000.000000 Hz
% Baud Rate: 200 Hz
% VLF Channel: 2
% PPS Channel: 1
% Jack Server: default
% Output Format: Polar
% End          
15200.000  -38.85   88.58
15220.000  -38.88   89.11
15240.000  -38.97   89.81
15260.000  -39.05   90.59
15280.000  -39.14   91.06
15300.000  -39.26   91.66
15320.000  -39.34   92.05
15340.000  -39.37   92.58
15360.000  -39.41   93.16
15380.000  -39.45   93.96
15400.000  -39.49   94.06
15420.000  -39.56   94.26
15440.000  -39.59   94.72
15460.000  -39.63   95.33
15480.000  -39.67   95.83
15500.000  -39.71   96.29
15520.000  -39.75   96.83
15540.000  -39.84   97.46
15560.000  -39.87   98.08
15580.000  -39.89   98.65
15600.000  -39.92   99.19
15620.000  -39.95   99.65
15640.000  -39.99  100.02
15660.000  -40.06  100.51
15680.000  -40.14  100.88
15700.000  -40.20  101.32
% Warning: sampling overrun detected
15720.000  -40.23  102.14
15740.000  -40.23  102.54
15760.000  -40.24  103.08
15780.000  -40.30  103.29
15800.000  -40.29  103.56
15820.000  -40.25  104.04
15840.000  -40.26  104.72
15860.000  -40.30  105.33
15880.000  -40.35  105.78
15900.000  -40.37  106.38
15920.000  -40.40  106.91
15940.000  -40.46  107.54
15960.000  -40.49  108.69
15980.000  -40.50  109.33
16000.000  -40.53  110.00
16020.000  -40.62  110.69
16040.000  -40.63  111.63
16060.000  -40.63  112.52
16080.000  -40.66  113.15
16100.000  -40.67  113.79
16120.000  -40.69  114.60
16140.000  -40.69  115.30
16160.000  -40.72  116.01
16180.000  -40.74  116.84
16200.000  -40.77  117.77
16220.000  -40.81  118.83
16240.000  -40.84  120.05
16260.000  -40.93  121.22
16280.000  -40.92  122.36
16300.000  -40.91  123.46
16320.000  -40.96  124.59
16340.000  -41.01  125.77
16360.000  -41.05  126.99
16380.000  -41.10  128.06
16400.000  -41.15  129.22
16420.000  -41.20  130.42
16440.000  -41.26  131.45
16460.000  -41.32  132.33
16480.000  -41.37  133.26
16500.000  -41.49  134.37
16520.000  -41.49  135.64
16540.000  -41.50  136.65
% Warning: sampling overrun detected
16560.000  -41.53  137.75
16580.000  -41.58  139.11
16600.000  -41.62  140.51
16620.000  -41.66  141.80
16640.000  -41.67  143.02
16660.000  -41.70  144.26
16680.000  -41.76  145.67
16700.000  -41.80  147.12
16720.000  -41.84  148.50
16740.000  -41.93  149.88
16760.000  -41.91  151.17
16780.000  -41.95  152.34
16800.000  -42.00  153.16
16820.000  -42.05  154.08
16840.000  -42.10  155.31
16860.000  -42.13  156.29
16880.000  -42.15  157.62
16900.000  -42.17  158.87
16920.000  -42.23  160.21
16940.000  -42.29  161.67
16960.000  -42.32  163.12
16980.000  -42.44  164.40
17000.000  -42.42  165.91
17020.000  -42.45  167.27
17040.000  -42.52  168.61
17060.000  -42.58  169.84
17080.000  -42.65  170.91
17100.000  -42.72  171.95
17120.000  -42.78  173.18
17140.000  -42.83  174.40
17160.000  -42.84  175.32
17180.000  -42.86  176.52
17200.000  -42.87  177.52
% Warning: sampling overrun detected
17220.000  -42.98  178.59
17240.000  -42.93  179.52
17260.000  -42.97 -179.28
17280.000  -43.02 -178.04
17300.000  -43.07 -176.80
17320.000  -43.12 -175.68
% Warning: sampling overrun detected
17340.000  -43.17 -174.36
17360.000  -43.21 -173.64
17380.000  -43.24 -172.65
17400.000  -43.31 -171.57
17420.000  -43.35 -170.58
17440.000  -43.38 -169.33
17460.000  -43.50 -168.26
17480.000  -43.46 -167.22
17500.000  -43.50 -165.83
17520.000  -43.54 -164.58
17540.000  -43.59 -163.08
17560.000  -43.62 -162.04
17580.000  -43.69 -161.10
17600.000  -43.76 -159.96
17620.000  -43.79 -159.08
17640.000  -43.83 -158.08
17660.000  -43.89 -157.21
17680.000  -43.95 -156.21
17700.000  -44.08 -155.22
17720.000  -44.04 -154.38
17740.000  -44.08 -153.59
17760.000  -44.12 -152.92
17780.000  -44.14 -152.08
17800.000  -44.19 -151.61
17820.000  -44.24 -151.18
17840.000  -44.29 -150.42
17860.000  -44.31 -149.64
